iter	Passed	Remaining
404	9337	13718
405	9352	13683
406	9367	13648
407	9383	13614
408	9402	13585
409	9418	13552
410	9433	13518
411	9452	13490
412	9467	13456
413	9485	13425
414	9499	13390
415	9513	13355
416	9527	13320
417	9542	13286
418	9556	13251
419	9570	13215
420	9584	13181
421	9601	13150
422	9615	13115
423	9629	13081
424	9644	13049
425	9660	13017
426	9675	12983
427	9689	12949
428	9704	12916
429	9720	12885
430	9735	12853
431	9750	12819
432	9764	12786
433	9778	12751
434	9793	12720
435	9811	12691
436	9829	12663
437	9849	12638
438	9865	12607
439	9881	12576
440	9901	12551
441	9919	12522
442	9935	12492
443	9951	12461
444	9971	12436
445	9989	12408
446	10008	12382
447	10025	12353
448	10045	12327
449	10065	12301
450	10081	12271
451	10099	12244
452	10120	12220
453	10137	12191
454	10151	12159
455	10168	12131
456	10184	12101
457	10200	12071
458	10217	12042
459	10233	12013
460	10249	11983
461	10268	11957
462	10285	11929
463	10300	11899
464	10319	11872
465	10337	11845
466	10353	11817
467	10373	11791
468	10390	11764
469	10406	11735
470	10426	11710
471	10445	11685
472	10468	11663
473	10484	11635
474	10501	11607
475	10515	11576
476	10531	11547
477	10546	11517
478	10562	11488
479	10577	11459
480	10592	11429
481	10607	11399
482	10621	11369
483	10638	11341
484	10653	11313
485	10669	11284
486	10687	11257
487	10701	11227
488	10718	11200
489	10733	11171
490	10749	11143
491	10763	11113
492	10782	11088
493	10796	11058
494	10814	11032
495	10832	11006
496	10846	10977
497	10859	10946
498	10886	10930
499	10902	10902
500	10914	10870
501	10928	10841
502	10943	10813
503	10957	10783
504	10973	10755
505	10988	10727
506	11003	10700
507	11020	10673
508	11052	10662
509	11090	10655
510	11118	10640
511	11142	10620
512	11167	10601
513	11202	10592
514	11224	10570
515	11244	10546
516	11267	10526
517	11291	10506
518	11315	10486
519	11338	10466
520	11355	10440
521	11372	10414
522	11394	10392
523	11409	10364
524	11427	10339
525	11445	10313
526	11460	10286
527	11476	10259
528	11492	10232
529	11508	10205
530	11523	10177
531	11541	10152
532	11556	10125
533	11572	10098
534	11587	10071
535	11612	10052
536	11626	10024
537	11641	9997
538	11658	9970
539	11675	9945
540	11690	9918
541	11707	9892
542	11722	9866
543	11737	9838
544	11751	9810
545	11765	9783
546	11779	9755
547	11794	9728
548	11809	9701
549	11823	9673
550	11840	9648
551	11856	9622
552	11875	9599
553	11893	9574
554	11909	9549
555	11925	9523
556	11944	9499
557	11958	9472
558	11974	9446
559	11990	9421
560	12006	9395
561	12020	9368
562	12035	9341
563	12049	9314
564	12063	9287
565	12078	9261
566	12093	9235
567	12107	9208
568	12121	9181
569	12134	9154
570	12149	9127
571	12162	9100
572	12179	9076
573	12200	9054
574	12215	9028
575	12231	9003
576	12249	8979
577	12265	8955
578	12280	8929
579	12297	8905
580	12312	8879
581	12329	8855
582	12341	8827
583	12354	8800
584	12369	8775
585	12385	8749
586	12399	8724
587	12414	8698
588	12428	8672
589	12443	8647
590	12457	8621
591	12477	8599
592	12491	8573
593	12506	8548
594	12523	8524
595	12537	8498
596	12551	8472
597	12568	8449
598	12585	8425
599	12599	8399
600	12611	8372
601	12626	8347
602	12640	8322
603	12653	8296
604	12666	8270
605	12681	8245
606	12695	8219
607	12708	8193
608	12719	8166
609	12733	8141
610	12746	8115
611	12759	8089
612	12771	8063
613	12790	8040
614	12805	8016
615	12819	7991
616	12836	7968
617	12853	7945
618	12869	7921
619	12888	7899
620	12906	7877
621	12922	7853
622	12937	7828
623	12953	7805
624	12968	7780
625	12982	7756
626	12997	7732
627	13016	7710
628	13031	7686
629	13047	7662
630	13066	7641
631	13081	7616
632	13095	7592
633	13108	7567
634	13123	7543
635	13147	7524
636	13165	7502
637	13183	7480
638	13200	7457
639	13216	7434
640	13229	7409
641	13245	7386
642	13260	7362
643	13276	7339
644	13291	7315
645	13309	7293
646	13326	7270
647	13340	7246
648	13357	7224
649	13372	7200
650	13388	7177
651	13403	7153
652	13418	7130
653	13431	7105
654	13447	7082
655	13461	7059
656	13474	7034
657	13488	7010
658	13504	6987
659	13518	6963
660	13531	6939
661	13548	6917
662	13563	6894
663	13578	6871
664	13593	6847
665	13609	6825
666	13622	6801
667	13637	6777
668	13654	6755
669	13669	6732
670	13685	6710
671	13700	6686
672	13713	6663
673	13727	6639
674	13743	6617
675	13757	6593
676	13769	6569
677	13783	6546
678	13800	6524
679	13813	6500
680	13825	6476
681	13837	6452
682	13848	6427
683	13864	6405
684	13877	6381
685	13892	6358
686	13903	6334
687	13916	6310
688	13928	6287
689	13942	6263
690	13955	6240
691	13970	6218
692	13985	6195
693	14001	6173
694	14017	6151
695	14039	6132
696	14066	6114
697	14088	6095
698	14106	6074
699	14127	6054
700	14146	6033
701	14163	6012
702	14178	5989
703	14195	5968
704	14217	5949
705	14233	5927
706	14246	5904
707	14265	5883
708	14287	5864
709	14305	5843
710	14322	5821
